user,likes,title,genre,sub_genre,themes,mood,age_restriction,actors,directors,release_year,duration_minutes,channel_number,event_time,content_type,content_category
user_96,no,Sky's Edge,Drama,Slice of Life,Courage,Melancholic,Family,Jane Smith,Dir A,1999,120,305.0,2025-06-20 11:15:12.511107,movie,Movie
user_71,no,Love Circuit,Action,Crime,Love,Relaxed,16,Alice Lee,Dir D,1993,30,305.0,2025-06-20 16:54:12.511183,episode,Other
user_29,yes,Love Circuit,Family,Crime,Betrayal,Melancholic,16,Jane Smith,Dir C,1999,60,101.0,2025-06-18 19:13:12.511219,movie,Movie
user_21,yes,Sky's Edge,Family,Coming-of-Age,Adventure,Relaxed,18,Jane Smith,Dir A,1990,60,,2025-06-19 12:41:12.511247,movie,Movie
user_64,yes,Love Circuit,Family,Slice of Life,Friendship,Relaxed,Family,Jane Smith,Dir B,2020,120,305.0,2025-06-20 08:14:12.511266,special,Other
user_50,no,Timeless Journey,Action,Crime,Love,Excited,Family,Jane Smith,Dir C,2021,30,404.0,2025-06-20 13:13:12.511286,movie,Movie
user_4,no,Midnight Code,Sci-Fi,Buddy,Betrayal,Relaxed,18,Jane Smith,Dir D,2010,45,203.0,2025-06-19 01:38:12.511315,special,Other
user_27,yes,Midnight Code,Drama,Crime,Friendship,Relaxed,Family,Alice Lee,Dir D,1997,45,203.0,2025-06-18 20:41:12.511349,episode,Other
user_90,yes,Love Circuit,Drama,Fantasy,Love,Excited,Family,Carlos Diaz,Dir A,1999,90,,2025-06-19 05:37:12.511379,series,Series
user_95,yes,Love Circuit,Sci-Fi,Coming-of-Age,Betrayal,Relaxed,13,Jane Smith,Dir D,2006,120,203.0,2025-06-20 04:44:12.511408,series,Series
user_48,yes,Love Circuit,Action,Slice of Life,Courage,Melancholic,13,Mina Patel,Dir B,2019,120,404.0,2025-06-19 10:47:12.511440,special,Other
user_22,yes,Love Circuit,Drama,Coming-of-Age,Friendship,Relaxed,Family,John Doe,Dir A,2023,45,505.0,2025-06-18 23:59:12.511479,episode,Other
user_33,yes,Midnight Code,Drama,Coming-of-Age,Courage,Nostalgic,13,Alice Lee,Dir C,2000,45,,2025-06-18 19:24:12.511510,series,Series
user_69,no,Midnight Code,Action,Buddy,Love,Excited,18,Mina Patel,Dir B,2015,60,305.0,2025-06-20 15:54:12.511540,episode,Other
user_51,no,Midnight Code,Sci-Fi,Slice of Life,Betrayal,Relaxed,16,Mina Patel,Dir D,2019,120,,2025-06-20 01:25:12.511560,special,Other
user_1,no,Love Circuit,Romance,Coming-of-Age,Adventure,Relaxed,16,Alice Lee,Dir C,2018,60,505.0,2025-06-20 07:07:12.511579,movie,Movie
user_14,no,Timeless Journey,Comedy,Buddy,Betrayal,Excited,Family,John Doe,Dir A,2022,90,505.0,2025-06-19 05:58:12.511598,movie,Movie
user_85,no,Love Circuit,Action,Fantasy,Adventure,Relaxed,16,Alice Lee,Dir A,1994,45,,2025-06-19 17:12:12.511625,movie,Movie
user_57,no,Midnight Code,Thriller,Slice of Life,Courage,Melancholic,13,Carlos Diaz,Dir A,2004,90,505.0,2025-06-19 10:12:12.511658,episode,Other
user_15,no,Love Circuit,Thriller,Crime,Friendship,Relaxed,Family,John Doe,Dir D,2011,90,305.0,2025-06-20 15:14:12.511681,series,Series
user_85,yes,Love Circuit,Sci-Fi,Slice of Life,Family Bonds,Excited,16,Jane Smith,Dir A,2007,120,101.0,2025-06-20 04:32:12.511713,series,Series
user_37,yes,Timeless Journey,Thriller,Buddy,Family Bonds,Excited,Family,Carlos Diaz,Dir C,2003,90,404.0,2025-06-20 13:29:12.511737,special,Other
user_22,no,Midnight Code,Sci-Fi,Coming-of-Age,Courage,Relaxed,13,Mina Patel,Dir D,2020,120,101.0,2025-06-19 05:35:12.511764,series,Series
user_97,no,Midnight Code,Romance,Fantasy,Courage,Excited,13,Carlos Diaz,Dir B,1999,90,305.0,2025-06-20 11:14:12.511792,episode,Other
user_75,no,Love Circuit,Drama,Slice of Life,Betrayal,Nostalgic,13,Mina Patel,Dir D,2012,120,,2025-06-20 07:04:12.511812,movie,Movie
user_24,no,Midnight Code,Action,Buddy,Love,Melancholic,18,John Doe,Dir D,2007,30,404.0,2025-06-19 19:27:12.511831,movie,Movie
user_74,no,Midnight Code,Sci-Fi,Crime,Friendship,Melancholic,18,Jane Smith,Dir D,1993,120,101.0,2025-06-20 06:30:12.511856,movie,Movie
user_74,yes,Timeless Journey,Thriller,Buddy,Friendship,Nostalgic,16,Alice Lee,Dir B,2003,30,505.0,2025-06-20 04:44:12.511879,movie,Movie
user_39,no,Timeless Journey,Comedy,Buddy,Friendship,Melancholic,16,Mina Patel,Dir B,1990,45,,2025-06-19 14:14:12.511897,episode,Other
user_90,yes,Love Circuit,Sci-Fi,Coming-of-Age,Courage,Excited,18,Alice Lee,Dir A,1994,30,,2025-06-19 21:05:12.511916,special,Other
user_49,yes,Sky's Edge,Action,Crime,Friendship,Relaxed,Family,Mina Patel,Dir C,2020,90,404.0,2025-06-19 12:37:12.511934,special,Other
user_20,no,Love Circuit,Sci-Fi,Coming-of-Age,Friendship,Nostalgic,13,Jane Smith,Dir A,2019,120,,2025-06-19 03:03:12.511952,movie,Movie
user_35,yes,Midnight Code,Comedy,Crime,Friendship,Excited,13,Carlos Diaz,Dir D,1991,120,101.0,2025-06-19 17:35:12.511970,movie,Movie
user_95,yes,Sky's Edge,Action,Crime,Friendship,Excited,13,Alice Lee,Dir B,2010,60,101.0,2025-06-20 02:23:12.511989,movie,Movie
user_66,yes,Sky's Edge,Drama,Buddy,Courage,Nostalgic,Family,John Doe,Dir C,2011,45,505.0,2025-06-19 09:22:12.512007,episode,Other
user_60,yes,Sky's Edge,Drama,Slice of Life,Betrayal,Nostalgic,Family,Carlos Diaz,Dir C,1996,90,101.0,2025-06-19 22:39:12.512025,series,Series
user_20,yes,Sky's Edge,Sci-Fi,Crime,Courage,Relaxed,13,Mina Patel,Dir A,2021,60,,2025-06-20 17:37:12.512043,episode,Other
user_86,no,Echoes of Youth,Comedy,Fantasy,Family Bonds,Nostalgic,18,Carlos Diaz,Dir C,1994,45,305.0,2025-06-20 06:51:12.512061,movie,Movie
user_29,yes,Midnight Code,Family,Fantasy,Courage,Relaxed,16,Mina Patel,Dir A,1993,45,305.0,2025-06-20 03:30:12.512079,special,Other
user_36,no,Sky's Edge,Thriller,Buddy,Adventure,Melancholic,18,Jane Smith,Dir A,2007,90,,2025-06-20 04:21:12.512097,special,Other
user_19,yes,Love Circuit,Drama,Coming-of-Age,Love,Relaxed,13,Alice Lee,Dir D,1996,45,203.0,2025-06-19 17:14:12.512116,movie,Movie
user_27,no,Echoes of Youth,Sci-Fi,Buddy,Courage,Melancholic,13,John Doe,Dir D,2008,120,404.0,2025-06-20 07:48:12.512137,series,Series
user_28,no,Echoes of Youth,Drama,Slice of Life,Betrayal,Nostalgic,13,Carlos Diaz,Dir A,2000,60,101.0,2025-06-19 08:00:12.512223,series,Series
user_38,yes,Timeless Journey,Action,Buddy,Family Bonds,Relaxed,Family,Carlos Diaz,Dir A,2000,30,,2025-06-20 12:26:12.512266,series,Series
user_80,yes,Echoes of Youth,Sci-Fi,Slice of Life,Friendship,Melancholic,18,Alice Lee,Dir B,2013,45,404.0,2025-06-20 08:45:12.512286,special,Other
user_60,no,Sky's Edge,Family,Buddy,Friendship,Melancholic,13,Alice Lee,Dir A,2015,90,505.0,2025-06-19 08:57:12.512304,movie,Movie
user_24,no,Love Circuit,Action,Fantasy,Betrayal,Relaxed,13,Alice Lee,Dir B,2015,45,,2025-06-18 20:01:12.512322,movie,Movie
user_92,yes,Midnight Code,Sci-Fi,Buddy,Adventure,Excited,18,Carlos Diaz,Dir B,2013,120,305.0,2025-06-19 18:58:12.512341,episode,Other
user_10,yes,Sky's Edge,Family,Fantasy,Love,Nostalgic,16,John Doe,Dir A,2007,90,203.0,2025-06-20 11:59:12.512358,movie,Movie
user_14,yes,Timeless Journey,Thriller,Coming-of-Age,Adventure,Melancholic,16,Alice Lee,Dir B,2013,60,,2025-06-20 18:53:12.512382,movie,Movie
user_59,no,Midnight Code,Drama,Crime,Family Bonds,Excited,13,Carlos Diaz,Dir B,1997,45,505.0,2025-06-19 09:29:12.512412,episode,Other
user_89,yes,Sky's Edge,Drama,Crime,Friendship,Melancholic,18,John Doe,Dir B,2002,30,305.0,2025-06-20 11:10:12.512441,special,Other
user_88,no,Sky's Edge,Sci-Fi,Buddy,Betrayal,Relaxed,Family,Mina Patel,Dir C,2023,60,203.0,2025-06-18 20:05:12.512468,series,Series
user_5,yes,Echoes of Youth,Action,Buddy,Love,Melancholic,16,Carlos Diaz,Dir A,2011,60,404.0,2025-06-20 06:18:12.512496,special,Other
user_7,no,Midnight Code,Drama,Crime,Friendship,Melancholic,18,Mina Patel,Dir B,2011,45,101.0,2025-06-19 09:17:12.512516,series,Series
user_41,no,Echoes of Youth,Comedy,Fantasy,Love,Excited,16,Jane Smith,Dir B,2010,120,203.0,2025-06-19 10:53:12.512535,series,Series
user_21,no,Midnight Code,Thriller,Slice of Life,Family Bonds,Nostalgic,13,Carlos Diaz,Dir B,2010,45,505.0,2025-06-19 07:31:12.512560,episode,Other
user_37,no,Timeless Journey,Thriller,Buddy,Betrayal,Excited,13,Jane Smith,Dir C,2020,90,203.0,2025-06-19 01:32:12.512591,special,Other
user_23,no,Love Circuit,Comedy,Crime,Love,Melancholic,16,John Doe,Dir B,2012,45,203.0,2025-06-19 05:48:12.512614,special,Other
user_14,no,Timeless Journey,Drama,Fantasy,Courage,Nostalgic,18,Alice Lee,Dir C,1995,45,203.0,2025-06-19 05:34:12.512642,movie,Movie
user_67,no,Echoes of Youth,Drama,Fantasy,Betrayal,Nostalgic,13,Carlos Diaz,Dir B,2008,60,505.0,2025-06-19 07:31:12.512676,movie,Movie
user_25,yes,Echoes of Youth,Comedy,Buddy,Friendship,Relaxed,16,Alice Lee,Dir C,1991,60,404.0,2025-06-19 07:22:12.512697,special,Other
user_87,no,Echoes of Youth,Drama,Fantasy,Family Bonds,Melancholic,Family,Jane Smith,Dir C,1994,90,101.0,2025-06-20 06:45:12.512715,movie,Movie
user_53,no,Midnight Code,Romance,Crime,Adventure,Excited,Family,Jane Smith,Dir A,2022,60,505.0,2025-06-19 12:25:12.512736,series,Series
user_33,yes,Sky's Edge,Comedy,Buddy,Courage,Melancholic,18,Mina Patel,Dir D,2003,45,,2025-06-19 16:25:12.512754,special,Other
user_66,yes,Echoes of Youth,Romance,Coming-of-Age,Adventure,Melancholic,18,Carlos Diaz,Dir A,2000,120,101.0,2025-06-19 20:37:12.512775,series,Series
user_41,no,Love Circuit,Family,Fantasy,Courage,Relaxed,Family,John Doe,Dir D,1992,45,404.0,2025-06-19 17:26:12.512806,movie,Movie
user_55,yes,Love Circuit,Thriller,Buddy,Adventure,Nostalgic,13,Alice Lee,Dir B,2000,30,203.0,2025-06-19 10:34:12.512829,series,Series
user_95,no,Timeless Journey,Sci-Fi,Coming-of-Age,Love,Nostalgic,18,Carlos Diaz,Dir C,2013,45,505.0,2025-06-20 08:22:12.512853,special,Other
user_80,yes,Midnight Code,Sci-Fi,Crime,Courage,Melancholic,Family,Carlos Diaz,Dir B,2007,60,,2025-06-18 23:07:12.512879,movie,Movie
user_89,yes,Midnight Code,Family,Slice of Life,Friendship,Melancholic,16,Alice Lee,Dir D,2020,120,203.0,2025-06-20 14:07:12.512898,movie,Movie
user_15,no,Echoes of Youth,Drama,Crime,Friendship,Relaxed,18,John Doe,Dir B,2010,90,404.0,2025-06-20 11:31:12.512921,movie,Movie
user_50,yes,Sky's Edge,Romance,Fantasy,Love,Nostalgic,16,Alice Lee,Dir D,2019,120,203.0,2025-06-19 23:59:12.512946,series,Series
user_72,yes,Echoes of Youth,Action,Slice of Life,Adventure,Melancholic,Family,Mina Patel,Dir A,2002,30,203.0,2025-06-20 09:49:12.512973,special,Other
user_96,yes,Echoes of Youth,Family,Coming-of-Age,Adventure,Melancholic,18,Carlos Diaz,Dir D,1994,60,305.0,2025-06-20 09:49:12.512996,movie,Movie
user_64,no,Midnight Code,Comedy,Buddy,Family Bonds,Melancholic,Family,Alice Lee,Dir D,2023,120,101.0,2025-06-20 18:10:12.513016,series,Series
user_13,yes,Echoes of Youth,Action,Crime,Family Bonds,Excited,Family,John Doe,Dir B,1999,60,404.0,2025-06-19 18:06:12.513035,special,Other
user_55,no,Echoes of Youth,Thriller,Coming-of-Age,Courage,Excited,16,Mina Patel,Dir D,2003,120,203.0,2025-06-18 21:56:12.513054,episode,Other
user_63,yes,Echoes of Youth,Thriller,Slice of Life,Betrayal,Nostalgic,13,John Doe,Dir C,2001,120,505.0,2025-06-20 09:50:12.513072,special,Other
user_56,no,Timeless Journey,Family,Slice of Life,Love,Relaxed,18,Carlos Diaz,Dir A,2002,60,101.0,2025-06-19 14:39:12.513090,special,Other
user_9,yes,Midnight Code,Sci-Fi,Crime,Friendship,Melancholic,16,Alice Lee,Dir D,2020,90,,2025-06-19 05:36:12.513109,series,Series
user_51,yes,Sky's Edge,Drama,Crime,Love,Nostalgic,16,Mina Patel,Dir D,2021,60,404.0,2025-06-19 23:16:12.513127,episode,Other
user_69,no,Timeless Journey,Family,Fantasy,Adventure,Relaxed,13,Jane Smith,Dir C,2002,45,505.0,2025-06-18 19:48:12.513146,episode,Other
user_50,no,Midnight Code,Action,Coming-of-Age,Friendship,Excited,16,Carlos Diaz,Dir C,2009,120,404.0,2025-06-20 16:04:12.513164,episode,Other
user_49,yes,Love Circuit,Family,Slice of Life,Family Bonds,Excited,13,Mina Patel,Dir B,2004,30,101.0,2025-06-19 08:22:12.513183,episode,Other
user_76,yes,Sky's Edge,Drama,Fantasy,Love,Excited,16,Carlos Diaz,Dir D,2005,60,404.0,2025-06-19 20:12:12.513212,movie,Movie
user_84,no,Timeless Journey,Comedy,Buddy,Betrayal,Relaxed,16,Mina Patel,Dir B,2001,45,505.0,2025-06-19 07:00:12.513245,special,Other
user_37,no,Love Circuit,Comedy,Coming-of-Age,Courage,Excited,18,Carlos Diaz,Dir B,2011,30,505.0,2025-06-20 15:50:12.513265,special,Other
user_13,no,Sky's Edge,Sci-Fi,Crime,Betrayal,Excited,18,Jane Smith,Dir A,1994,45,404.0,2025-06-19 00:00:12.513283,series,Series
user_98,no,Sky's Edge,Thriller,Slice of Life,Adventure,Nostalgic,13,Alice Lee,Dir B,2006,45,,2025-06-18 19:04:12.513302,movie,Movie
user_7,yes,Love Circuit,Action,Slice of Life,Friendship,Relaxed,16,Carlos Diaz,Dir B,1990,45,305.0,2025-06-18 20:22:12.513321,special,Other
user_65,yes,Timeless Journey,Comedy,Slice of Life,Adventure,Melancholic,16,Carlos Diaz,Dir C,1991,30,305.0,2025-06-19 03:00:12.513341,series,Series
user_17,no,Love Circuit,Drama,Slice of Life,Family Bonds,Nostalgic,13,Carlos Diaz,Dir C,2021,60,305.0,2025-06-20 10:56:12.513360,episode,Other
user_98,no,Sky's Edge,Comedy,Slice of Life,Adventure,Melancholic,Family,Carlos Diaz,Dir D,2020,45,305.0,2025-06-19 07:02:12.513381,movie,Movie
user_38,yes,Love Circuit,Sci-Fi,Buddy,Friendship,Relaxed,18,Carlos Diaz,Dir D,2008,90,404.0,2025-06-20 11:54:12.513399,movie,Movie
user_69,no,Midnight Code,Family,Fantasy,Betrayal,Relaxed,Family,Carlos Diaz,Dir B,1992,30,505.0,2025-06-19 20:25:12.513422,series,Series
user_16,no,Love Circuit,Comedy,Fantasy,Friendship,Nostalgic,13,John Doe,Dir C,2017,120,505.0,2025-06-19 04:57:12.513449,special,Other
user_96,yes,Echoes of Youth,Thriller,Crime,Love,Nostalgic,Family,Alice Lee,Dir C,2007,60,505.0,2025-06-20 02:20:12.513477,movie,Movie
user_12,yes,Love Circuit,Family,Coming-of-Age,Family Bonds,Relaxed,16,Mina Patel,Dir D,2008,30,505.0,2025-06-20 03:04:12.513507,series,Series
user_17,yes,Midnight Code,Sci-Fi,Buddy,Courage,Relaxed,18,Mina Patel,Dir C,2009,60,,2025-06-19 11:16:12.513537,episode,Other
user_72,yes,Timeless Journey,Drama,Fantasy,Friendship,Relaxed,Family,Carlos Diaz,Dir B,2003,30,305.0,2025-06-19 23:54:12.513570,special,Other
user_53,no,Sky's Edge,Comedy,Slice of Life,Betrayal,Melancholic,16,John Doe,Dir B,1997,120,,2025-06-19 04:32:12.513600,series,Series
user_33,no,Midnight Code,Romance,Buddy,Courage,Excited,13,Jane Smith,Dir D,1993,60,404.0,2025-06-19 23:03:12.513619,movie,Movie
user_3,no,Timeless Journey,Romance,Slice of Life,Family Bonds,Excited,Family,John Doe,Dir C,1992,30,505.0,2025-06-19 12:45:12.513645,movie,Movie
user_84,yes,Echoes of Youth,Family,Slice of Life,Adventure,Nostalgic,18,Alice Lee,Dir D,2021,45,,2025-06-19 04:38:12.513672,movie,Movie
user_41,no,Love Circuit,Sci-Fi,Buddy,Courage,Relaxed,18,Jane Smith,Dir B,2004,45,404.0,2025-06-19 11:13:12.513690,movie,Movie
user_35,yes,Love Circuit,Action,Crime,Betrayal,Relaxed,Family,Jane Smith,Dir D,2023,30,,2025-06-19 18:12:12.513709,movie,Movie
user_45,yes,Echoes of Youth,Romance,Buddy,Courage,Nostalgic,16,Carlos Diaz,Dir B,1991,45,203.0,2025-06-20 17:33:12.513742,episode,Other
user_76,no,Sky's Edge,Romance,Slice of Life,Courage,Excited,16,John Doe,Dir A,2014,90,404.0,2025-06-19 01:55:12.513767,episode,Other
user_89,yes,Echoes of Youth,Action,Fantasy,Courage,Relaxed,13,John Doe,Dir D,2000,60,305.0,2025-06-20 14:59:12.513786,movie,Movie
user_26,no,Timeless Journey,Sci-Fi,Fantasy,Friendship,Relaxed,16,Mina Patel,Dir B,2018,30,505.0,2025-06-19 11:06:12.513804,special,Other
user_61,no,Echoes of Youth,Sci-Fi,Crime,Courage,Excited,16,Jane Smith,Dir A,2008,60,,2025-06-19 08:35:12.513823,special,Other
user_74,no,Echoes of Youth,Family,Coming-of-Age,Family Bonds,Nostalgic,16,Jane Smith,Dir B,1998,60,101.0,2025-06-19 13:52:12.513841,movie,Movie
user_79,yes,Midnight Code,Family,Coming-of-Age,Friendship,Relaxed,18,Mina Patel,Dir C,2006,60,404.0,2025-06-19 20:22:12.513861,episode,Other
user_55,no,Sky's Edge,Family,Coming-of-Age,Courage,Nostalgic,Family,Jane Smith,Dir C,2001,60,505.0,2025-06-20 02:12:12.513884,episode,Other
user_98,yes,Sky's Edge,Drama,Crime,Courage,Melancholic,Family,John Doe,Dir A,2022,30,404.0,2025-06-19 19:59:12.513910,episode,Other
user_87,yes,Timeless Journey,Comedy,Slice of Life,Betrayal,Nostalgic,13,Jane Smith,Dir A,2017,60,,2025-06-18 22:06:12.513933,series,Series
user_46,no,Love Circuit,Action,Crime,Courage,Relaxed,18,John Doe,Dir C,2010,120,404.0,2025-06-19 19:30:12.513957,special,Other
user_34,yes,Midnight Code,Thriller,Crime,Adventure,Melancholic,18,Mina Patel,Dir D,2000,90,404.0,2025-06-20 12:45:12.513975,movie,Movie
