user,profile
user_98,"user_98 tends to enjoy content in the genres of Sci-Fi, Romance, Drama, Family with sub-genres such as Buddy, Crime, Fantasy, Coming-of-Age. They particularly appreciate themes like Courage, Family Bonds, Adventure, Betrayal and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Thriller, Comedy, sub-genres such as Slice of Life, and tend to avoid themes like Adventure especially in Movie formats."
user_59,"user_59 tends to enjoy content in the genres of Thriller, Sci-Fi, Family with sub-genres such as Crime, Buddy. They particularly appreciate themes like Adventure and often engage with Series, Other, Movie type content. On the other hand, they are less interested in genres like Drama, Sci-Fi, sub-genres such as Crime, Slice of Life, and tend to avoid themes like Family Bonds, Adventure especially in Other formats."
user_78,"user_78 tends to enjoy content in the genres of  with sub-genres such as . They particularly appreciate themes like  and often engage with  type content. On the other hand, they are less interested in genres like Family, sub-genres such as Crime, and tend to avoid themes like Family Bonds especially in Movie formats."
user_95,"user_95 tends to enjoy content in the genres of Comedy, Sci-Fi, Action, Family with sub-genres such as Buddy, Coming-of-Age, Crime, Fantasy. They particularly appreciate themes like Adventure, Betrayal, Friendship, Love and often engage with Other, Series, Movie type content. On the other hand, they are less interested in genres like Sci-Fi, Action, Drama, sub-genres such as Coming-of-Age, Fantasy, Slice of Life, and tend to avoid themes like Love, Friendship, Family Bonds especially in Other, Series formats."
user_64,"user_64 tends to enjoy content in the genres of Comedy, Romance, Family with sub-genres such as Slice of Life, Crime, Buddy. They particularly appreciate themes like Friendship, Courage, Betrayal, Adventure, Love and often engage with Other, Movie, Series type content. On the other hand, they are less interested in genres like Comedy, Drama, sub-genres such as Buddy, Slice of Life, and tend to avoid themes like Family Bonds, Friendship especially in Movie, Series, Other formats."
user_42,"user_42 tends to enjoy content in the genres of Comedy, Family with sub-genres such as Fantasy, Buddy. They particularly appreciate themes like Adventure, Courage and often engage with Other type content. On the other hand, they are less interested in genres like Romance, Drama, sub-genres such as Buddy, Slice of Life, Crime, and tend to avoid themes like Love, Friendship, Betrayal especially in Movie, Other, Series formats."
user_47,"user_47 tends to enjoy content in the genres of Comedy, Thriller, Drama with sub-genres such as Coming-of-Age, Slice of Life. They particularly appreciate themes like Family Bonds, Adventure, Betrayal and often engage with Series type content. On the other hand, they are less interested in genres like Thriller, Comedy, Romance, sub-genres such as Fantasy, Crime, Buddy, and tend to avoid themes like Friendship, Love, Family Bonds especially in Other, Series formats."
user_72,"user_72 tends to enjoy content in the genres of Action, Drama with sub-genres such as Slice of Life, Fantasy. They particularly appreciate themes like Adventure, Friendship and often engage with Other type content. On the other hand, they are less interested in genres like Thriller, Sci-Fi, Action, Comedy, sub-genres such as Crime, Coming-of-Age, Buddy, Slice of Life, and tend to avoid themes like Family Bonds, Adventure, Betrayal, Courage, Love especially in Other, Movie, Series formats."
user_93,"user_93 tends to enjoy content in the genres of  with sub-genres such as . They particularly appreciate themes like  and often engage with  type content. On the other hand, they are less interested in genres like Drama, Comedy, Family, sub-genres such as Slice of Life, Fantasy, Buddy, and tend to avoid themes like Family Bonds, Friendship especially in Other, Movie formats."
user_23,"user_23 tends to enjoy content in the genres of Romance with sub-genres such as Fantasy, Buddy. They particularly appreciate themes like Betrayal, Family Bonds and often engage with Other type content. On the other hand, they are less interested in genres like Romance, Comedy, sub-genres such as Crime, Coming-of-Age, and tend to avoid themes like Love, Friendship, Betrayal especially in Other, Movie formats."
user_70,"user_70 tends to enjoy content in the genres of Drama with sub-genres such as Fantasy. They particularly appreciate themes like Courage and often engage with Other type content. On the other hand, they are less interested in genres like Romance, sub-genres such as Coming-of-Age, and tend to avoid themes like Adventure especially in Series formats."
user_51,"user_51 tends to enjoy content in the genres of Drama, Sci-Fi with sub-genres such as Crime, Coming-of-Age. They particularly appreciate themes like Love, Family Bonds and often engage with Other, Series type content. On the other hand, they are less interested in genres like Sci-Fi, Family, sub-genres such as Crime, Slice of Life, Fantasy, and tend to avoid themes like Love, Betrayal especially in Other, Movie formats."
user_1,"user_1 tends to enjoy content in the genres of Family, Sci-Fi, Thriller with sub-genres such as Slice of Life, Fantasy, Coming-of-Age. They particularly appreciate themes like Betrayal, Love, Family Bonds and often engage with Movie, Series type content. On the other hand, they are less interested in genres like Romance, Comedy, sub-genres such as Buddy, Coming-of-Age, and tend to avoid themes like Adventure, Betrayal, Courage especially in Series, Movie formats."
user_94,"user_94 tends to enjoy content in the genres of Family, Action with sub-genres such as Crime, Coming-of-Age, Fantasy. They particularly appreciate themes like Friendship, Love, Betrayal and often engage with Other, Series type content. On the other hand, they are less interested in genres like Romance, sub-genres such as Crime, and tend to avoid themes like Family Bonds especially in Other formats."
user_38,"user_38 tends to enjoy content in the genres of Family, Action, Sci-Fi, Drama with sub-genres such as Buddy, Fantasy, Slice of Life. They particularly appreciate themes like Courage, Family Bonds, Friendship, Betrayal and often engage with Series, Other, Movie type content. On the other hand, they are less interested in genres like Drama, sub-genres such as Crime, Slice of Life, and tend to avoid themes like Adventure especially in Other formats."
user_85,"user_85 tends to enjoy content in the genres of Sci-Fi, Family, Drama, Thriller, Comedy with sub-genres such as Crime, Fantasy, Slice of Life. They particularly appreciate themes like Friendship, Love, Family Bonds, Adventure and often engage with Series, Movie, Other type content. On the other hand, they are less interested in genres like Family, Action, Comedy, sub-genres such as Fantasy, Slice of Life, Crime, Coming-of-Age, and tend to avoid themes like Adventure, Love, Family Bonds especially in Movie, Other formats."
user_33,"user_33 tends to enjoy content in the genres of Romance, Drama, Comedy, Action, Family with sub-genres such as Coming-of-Age, Buddy, Slice of Life. They particularly appreciate themes like Courage, Adventure, Betrayal and often engage with Series, Other type content. On the other hand, they are less interested in genres like Romance, Comedy, sub-genres such as Buddy, Slice of Life, and tend to avoid themes like Courage, Betrayal especially in Movie, Other formats."
user_18,"user_18 tends to enjoy content in the genres of Family, Sci-Fi with sub-genres such as Crime. They particularly appreciate themes like Betrayal, Love and often engage with Movie, Other type content. On the other hand, they are less interested in genres like Comedy, Romance, sub-genres such as Buddy, Coming-of-Age, Crime, and tend to avoid themes like Friendship, Courage, Love especially in Other, Movie formats."
user_35,"user_35 tends to enjoy content in the genres of Action, Comedy, Thriller with sub-genres such as Crime, Slice of Life, Buddy. They particularly appreciate themes like Betrayal, Friendship, Family Bonds, Courage and often engage with Movie, Series type content. On the other hand, they are less interested in genres like Action, sub-genres such as Crime, Slice of Life, and tend to avoid themes like Courage especially in Series, Movie formats."
user_41,"user_41 tends to enjoy content in the genres of Thriller with sub-genres such as Buddy. They particularly appreciate themes like Family Bonds and often engage with Movie type content. On the other hand, they are less interested in genres like Comedy, Family, Sci-Fi, sub-genres such as Fantasy, Coming-of-Age, Buddy, and tend to avoid themes like Courage, Love, Adventure especially in Series, Movie, Other formats."
user_88,"user_88 tends to enjoy content in the genres of Drama with sub-genres such as Crime, Buddy. They particularly appreciate themes like Betrayal, Adventure and often engage with Series, Other type content. On the other hand, they are less interested in genres like Sci-Fi, Drama, Family, Thriller, sub-genres such as Coming-of-Age, Buddy, Crime, and tend to avoid themes like Courage, Friendship, Betrayal, Family Bonds especially in Other, Movie, Series formats."
user_97,"user_97 tends to enjoy content in the genres of Comedy with sub-genres such as Slice of Life, Buddy. They particularly appreciate themes like Betrayal, Adventure and often engage with Movie, Other type content. On the other hand, they are less interested in genres like Romance, sub-genres such as Fantasy, and tend to avoid themes like Courage especially in Other formats."
user_96,"user_96 tends to enjoy content in the genres of Comedy, Family, Thriller, Romance with sub-genres such as Coming-of-Age, Crime, Slice of Life. They particularly appreciate themes like Love, Adventure, Family Bonds, Friendship and often engage with Movie, Other, Series type content. On the other hand, they are less interested in genres like Drama, Sci-Fi, Action, Family, Romance, Comedy, sub-genres such as Fantasy, Coming-of-Age, Slice of Life, Buddy, Crime, and tend to avoid themes like Friendship, Family Bonds, Betrayal, Courage especially in Other, Movie formats."
user_71,"user_71 tends to enjoy content in the genres of Drama with sub-genres such as Coming-of-Age. They particularly appreciate themes like Courage and often engage with Other type content. On the other hand, they are less interested in genres like Action, Thriller, sub-genres such as Crime, Slice of Life, Fantasy, and tend to avoid themes like Love, Courage especially in Other, Movie formats."
user_21,"user_21 tends to enjoy content in the genres of Family, Action, Sci-Fi, Comedy with sub-genres such as Coming-of-Age, Buddy, Fantasy. They particularly appreciate themes like Adventure, Betrayal, Friendship, Family Bonds, Love and often engage with Other, Movie, Series type content. On the other hand, they are less interested in genres like Thriller, Family, sub-genres such as Slice of Life, Coming-of-Age, and tend to avoid themes like Family Bonds, Betrayal especially in Other formats."
user_90,"user_90 tends to enjoy content in the genres of Drama, Sci-Fi with sub-genres such as Fantasy, Coming-of-Age. They particularly appreciate themes like Love, Courage and often engage with Series, Other type content. On the other hand, they are less interested in genres like , sub-genres such as , and tend to avoid themes like  especially in  formats."
user_48,"user_48 tends to enjoy content in the genres of Action, Thriller with sub-genres such as Slice of Life, Buddy. They particularly appreciate themes like Courage, Love and often engage with Other type content. On the other hand, they are less interested in genres like Thriller, sub-genres such as Crime, and tend to avoid themes like Friendship especially in Other formats."
user_22,"user_22 tends to enjoy content in the genres of Drama with sub-genres such as Coming-of-Age. They particularly appreciate themes like Friendship and often engage with Other type content. On the other hand, they are less interested in genres like Sci-Fi, sub-genres such as Coming-of-Age, and tend to avoid themes like Courage especially in Series formats."
user_69,"user_69 tends to enjoy content in the genres of  with sub-genres such as . They particularly appreciate themes like  and often engage with  type content. On the other hand, they are less interested in genres like Family, Action, Sci-Fi, Thriller, Romance, sub-genres such as Fantasy, Buddy, Crime, Coming-of-Age, and tend to avoid themes like Love, Betrayal, Adventure especially in Other, Series formats."
user_14,"user_14 tends to enjoy content in the genres of Thriller with sub-genres such as Coming-of-Age. They particularly appreciate themes like Adventure and often engage with Movie type content. On the other hand, they are less interested in genres like Drama, Comedy, Sci-Fi, sub-genres such as Buddy, Fantasy, Crime, Coming-of-Age, and tend to avoid themes like Betrayal, Courage, Love, Adventure especially in Movie, Series, Other formats."
user_15,"user_15 tends to enjoy content in the genres of Sci-Fi, Romance with sub-genres such as Coming-of-Age, Fantasy. They particularly appreciate themes like Family Bonds, Love, Betrayal and often engage with Series, Other, Movie type content. On the other hand, they are less interested in genres like Thriller, Drama, Action, sub-genres such as Coming-of-Age, Crime, Buddy, and tend to avoid themes like Friendship, Love, Adventure, Betrayal especially in Series, Movie, Other formats."
user_37,"user_37 tends to enjoy content in the genres of Thriller, Comedy with sub-genres such as Buddy, Slice of Life. They particularly appreciate themes like Family Bonds, Adventure and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Thriller, Comedy, Action, Romance, sub-genres such as Buddy, Coming-of-Age, and tend to avoid themes like Courage, Betrayal, Friendship especially in Other, Movie, Series formats."
user_75,"user_75 tends to enjoy content in the genres of Thriller, Comedy with sub-genres such as Slice of Life, Fantasy. They particularly appreciate themes like Adventure and often engage with Movie, Series type content. On the other hand, they are less interested in genres like Drama, sub-genres such as Slice of Life, and tend to avoid themes like Betrayal especially in Movie formats."
user_24,"user_24 tends to enjoy content in the genres of Comedy, Drama, Thriller with sub-genres such as Crime, Slice of Life, Buddy. They particularly appreciate themes like Courage, Friendship, Adventure, Love and often engage with Series, Movie, Other type content. On the other hand, they are less interested in genres like Action, sub-genres such as Buddy, Fantasy, Coming-of-Age, and tend to avoid themes like Betrayal, Love especially in Movie, Other formats."
user_74,"user_74 tends to enjoy content in the genres of Thriller with sub-genres such as Buddy, Slice of Life. They particularly appreciate themes like Friendship, Adventure and often engage with Movie, Other type content. On the other hand, they are less interested in genres like Sci-Fi, Family, Romance, Comedy, sub-genres such as Crime, Coming-of-Age, Buddy, Fantasy, and tend to avoid themes like Betrayal, Friendship, Family Bonds especially in Movie, Other formats."
user_39,"user_39 tends to enjoy content in the genres of  with sub-genres such as . They particularly appreciate themes like  and often engage with  type content. On the other hand, they are less interested in genres like Comedy, Action, Sci-Fi, sub-genres such as Buddy, Crime, and tend to avoid themes like Friendship, Courage, Family Bonds especially in Series, Other formats."
user_49,"user_49 tends to enjoy content in the genres of Action, Family, Romance with sub-genres such as Crime, Slice of Life, Coming-of-Age. They particularly appreciate themes like Friendship, Family Bonds, Love and often engage with Other type content. On the other hand, they are less interested in genres like Family, sub-genres such as Fantasy, and tend to avoid themes like Betrayal especially in Other formats."
user_20,"user_20 tends to enjoy content in the genres of Sci-Fi, Family with sub-genres such as Crime, Coming-of-Age. They particularly appreciate themes like Courage, Betrayal, Friendship and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Thriller, Sci-Fi, Family, sub-genres such as Buddy, Coming-of-Age, Crime, and tend to avoid themes like Friendship, Love, Adventure especially in Other, Movie, Series formats."
user_66,"user_66 tends to enjoy content in the genres of Drama, Romance with sub-genres such as Buddy, Coming-of-Age. They particularly appreciate themes like Courage, Adventure and often engage with Other, Series type content. On the other hand, they are less interested in genres like , sub-genres such as , and tend to avoid themes like  especially in  formats."
user_60,"user_60 tends to enjoy content in the genres of Drama with sub-genres such as Slice of Life, Crime. They particularly appreciate themes like Betrayal, Love, Courage and often engage with Series type content. On the other hand, they are less interested in genres like Family, Thriller, sub-genres such as Buddy, Fantasy, and tend to avoid themes like Friendship, Love especially in Movie, Series formats."
user_86,"user_86 tends to enjoy content in the genres of Thriller, Romance with sub-genres such as Buddy, Coming-of-Age. They particularly appreciate themes like Adventure, Family Bonds and often engage with Movie, Other type content. On the other hand, they are less interested in genres like Comedy, Family, sub-genres such as Fantasy, and tend to avoid themes like Family Bonds, Love especially in Movie, Other formats."
user_36,"user_36 tends to enjoy content in the genres of Sci-Fi, Comedy, Romance with sub-genres such as Coming-of-Age, Buddy, Crime. They particularly appreciate themes like Friendship, Family Bonds, Courage and often engage with Other type content. On the other hand, they are less interested in genres like Thriller, Drama, Comedy, Sci-Fi, Action, sub-genres such as Buddy, Fantasy, Coming-of-Age, and tend to avoid themes like Adventure, Friendship, Courage especially in Other, Series, Movie formats."
user_28,"user_28 tends to enjoy content in the genres of Family, Action with sub-genres such as Fantasy, Slice of Life. They particularly appreciate themes like Love, Family Bonds and often engage with Movie type content. On the other hand, they are less interested in genres like Drama, Thriller, sub-genres such as Slice of Life, Fantasy, and tend to avoid themes like Betrayal especially in Series formats."
user_80,"user_80 tends to enjoy content in the genres of Sci-Fi, Family, Comedy with sub-genres such as Slice of Life, Crime, Fantasy. They particularly appreciate themes like Love, Friendship, Courage and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Drama, sub-genres such as Slice of Life, Coming-of-Age, and tend to avoid themes like Betrayal, Love especially in Series, Other formats."
user_92,"user_92 tends to enjoy content in the genres of Sci-Fi, Thriller with sub-genres such as Buddy, Crime. They particularly appreciate themes like Adventure, Courage and often engage with Other, Movie type content. On the other hand, they are less interested in genres like , sub-genres such as , and tend to avoid themes like  especially in  formats."
user_10,"user_10 tends to enjoy content in the genres of Family with sub-genres such as Fantasy. They particularly appreciate themes like Love and often engage with Movie type content. On the other hand, they are less interested in genres like Family, Drama, Comedy, Romance, sub-genres such as Coming-of-Age, Crime, Buddy, and tend to avoid themes like Adventure, Friendship, Betrayal especially in Series, Other formats."
user_89,"user_89 tends to enjoy content in the genres of Action, Drama, Family with sub-genres such as Crime, Slice of Life, Fantasy. They particularly appreciate themes like Friendship, Courage and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Romance, Comedy, sub-genres such as Fantasy, Buddy, and tend to avoid themes like Betrayal, Courage especially in Other, Movie formats."
user_5,"user_5 tends to enjoy content in the genres of Action, Thriller with sub-genres such as Buddy, Slice of Life. They particularly appreciate themes like Love, Courage and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Comedy, Sci-Fi, sub-genres such as Buddy, Crime, Coming-of-Age, and tend to avoid themes like Adventure, Family Bonds, Friendship especially in Other formats."
user_7,"user_7 tends to enjoy content in the genres of Action, Drama with sub-genres such as Slice of Life, Coming-of-Age. They particularly appreciate themes like Friendship, Love and often engage with Other type content. On the other hand, they are less interested in genres like Drama, Romance, sub-genres such as Slice of Life, Crime, and tend to avoid themes like Friendship, Love especially in Series, Movie, Other formats."
user_67,"user_67 tends to enjoy content in the genres of Romance, Action with sub-genres such as Fantasy, Slice of Life, Coming-of-Age. They particularly appreciate themes like Love, Adventure and often engage with Other, Series type content. On the other hand, they are less interested in genres like Drama, sub-genres such as Fantasy, and tend to avoid themes like Betrayal especially in Movie formats."
user_25,"user_25 tends to enjoy content in the genres of Comedy, Sci-Fi, Thriller with sub-genres such as Buddy, Fantasy. They particularly appreciate themes like Friendship, Love, Family Bonds and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Sci-Fi, Thriller, Action, Romance, sub-genres such as Fantasy, Coming-of-Age, Slice of Life, and tend to avoid themes like Friendship, Betrayal, Family Bonds especially in Series, Other, Movie formats."
user_55,"user_55 tends to enjoy content in the genres of Action, Thriller with sub-genres such as Fantasy, Buddy. They particularly appreciate themes like Adventure, Family Bonds and often engage with Movie, Series type content. On the other hand, they are less interested in genres like Thriller, Family, Action, sub-genres such as Coming-of-Age, Crime, and tend to avoid themes like Courage, Family Bonds especially in Other, Movie formats."
user_13,"user_13 tends to enjoy content in the genres of Action with sub-genres such as Crime. They particularly appreciate themes like Family Bonds and often engage with Other type content. On the other hand, they are less interested in genres like Sci-Fi, Romance, sub-genres such as Crime, Coming-of-Age, and tend to avoid themes like Betrayal, Family Bonds especially in Series, Other formats."
user_56,"user_56 tends to enjoy content in the genres of Romance with sub-genres such as Buddy. They particularly appreciate themes like Friendship and often engage with Series type content. On the other hand, they are less interested in genres like Family, Thriller, sub-genres such as Slice of Life, Coming-of-Age, and tend to avoid themes like Love, Adventure especially in Other, Movie formats."
user_9,"user_9 tends to enjoy content in the genres of Sci-Fi with sub-genres such as Crime, Coming-of-Age. They particularly appreciate themes like Friendship, Family Bonds and often engage with Series type content. On the other hand, they are less interested in genres like Family, Comedy, sub-genres such as Coming-of-Age, Fantasy, and tend to avoid themes like Betrayal especially in Other, Series formats."
user_76,"user_76 tends to enjoy content in the genres of Drama, Action with sub-genres such as Fantasy, Crime. They particularly appreciate themes like Love, Adventure and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Romance, Drama, sub-genres such as Slice of Life, Buddy, and tend to avoid themes like Courage especially in Other formats."
user_84,"user_84 tends to enjoy content in the genres of Family with sub-genres such as Slice of Life. They particularly appreciate themes like Adventure and often engage with Movie type content. On the other hand, they are less interested in genres like Comedy, Drama, Thriller, Family, sub-genres such as Buddy, Coming-of-Age, Fantasy, and tend to avoid themes like Betrayal, Friendship especially in Other, Series formats."
user_65,"user_65 tends to enjoy content in the genres of Comedy, Romance with sub-genres such as Slice of Life, Fantasy. They particularly appreciate themes like Adventure and often engage with Series, Other type content. On the other hand, they are less interested in genres like Sci-Fi, sub-genres such as Slice of Life, and tend to avoid themes like Courage especially in Movie formats."
user_16,"user_16 tends to enjoy content in the genres of Family with sub-genres such as Coming-of-Age. They particularly appreciate themes like Courage and often engage with Other type content. On the other hand, they are less interested in genres like Comedy, Romance, sub-genres such as Fantasy, and tend to avoid themes like Friendship especially in Other formats."
user_12,"user_12 tends to enjoy content in the genres of Family, Comedy, Sci-Fi with sub-genres such as Coming-of-Age, Buddy. They particularly appreciate themes like Friendship, Family Bonds and often engage with Series, Other, Movie type content. On the other hand, they are less interested in genres like Sci-Fi, sub-genres such as Fantasy, and tend to avoid themes like Love especially in Movie formats."
user_3,"user_3 tends to enjoy content in the genres of  with sub-genres such as . They particularly appreciate themes like  and often engage with  type content. On the other hand, they are less interested in genres like Romance, Action, sub-genres such as Slice of Life, Buddy, and tend to avoid themes like Family Bonds, Love especially in Movie, Series formats."
user_26,"user_26 tends to enjoy content in the genres of Thriller, Action with sub-genres such as Fantasy, Buddy. They particularly appreciate themes like Betrayal, Courage and often engage with Series type content. On the other hand, they are less interested in genres like Sci-Fi, sub-genres such as Fantasy, and tend to avoid themes like Friendship especially in Other formats."
user_34,"user_34 tends to enjoy content in the genres of Thriller, Family with sub-genres such as Crime, Buddy. They particularly appreciate themes like Adventure, Friendship and often engage with Movie type content. On the other hand, they are less interested in genres like Action, Drama, Sci-Fi, sub-genres such as Coming-of-Age, and tend to avoid themes like Friendship, Love, Family Bonds especially in Other formats."
user_30,"user_30 tends to enjoy content in the genres of Romance, Drama, Sci-Fi with sub-genres such as Coming-of-Age, Crime, Fantasy. They particularly appreciate themes like Betrayal, Love, Courage and often engage with Other, Series type content. On the other hand, they are less interested in genres like Romance, Action, sub-genres such as Crime, Coming-of-Age, and tend to avoid themes like Love, Friendship especially in Other formats."
